name;unit;pixelW;pixelH;pixelZ;width;height;channels;frames;slices;nucleus_area;diameter;marge;totalThick;nucleusSlices;totalPlainNucleus;slicesLeft;totalNucNotCorr;totalMitoNotCorr;corrTotaleNuc;sumPxInt0;beyondTh16;sumPxInt16;beyondTh32;sumPxInt32
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;446;1308;93;754567296;14524300;335720160;1153126;44724424
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;660;939;121;876080605;15319543;358619509;1328401;55040193
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position003.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;509;1308;125;731580264;11068029;269170612;1125700;55635289
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;702;879;107;844884135;14403419;324278806;861035;33760839
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;561;341;39;723350506;13374706;317474716;1152174;51696581
crop_2021_06_02_Lujeune_MitoSox_L1 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;40;1100;3;1;11.856;10;4;0;558;1615;112;1369096847;31872481;896594615;5949542;309953669
crop_2021_06_02_Lujeune_MitoSox_L10 - Mark_and_Find 001_Position001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;614;133;46;1364100334;37758611;1013282950;8040131;326011443
crop_2021_06_02_Lujeune_MitoSox_L10 - Mark_and_Find 001_Position002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;551;375;41;627027696;9705012;216741610;555853;21575788
crop_2021_06_02_Lujeune_MitoSox_L10 - Mark_and_Find 001_Position004.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;507;370;96;567810915;10358102;247262561;1133308;44627515
crop_2021_06_02_Lujeune_MitoSox_L10 - Mark_and_Find 001_Position005.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;30;1100;3;1;8.892;10;3;0;686;57;61;609641299;9326019;222923624;832870;41157887
crop_2021_06_02_Lujeune_MitoSox_L10 - Mark_and_Find 001_Position006.tif;microns;0.05858;0.05858;0.2964;1576;1576;2;1;20;1100;3;1;5.928;10;2;0;443;68;49;349737465;5189187;127461122;614081;28885565
crop_2021_06_02_Lujeune_MitoSox_L10 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;659;554;41;2.6952E9;72149867;2.4283E9;32103386;1457036287
crop_2021_06_02_Lujeune_MitoSox_L2 - Series001.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;845;226;49;421031316;3265622;68954295;95986;3979480
crop_2021_06_02_Lujeune_MitoSox_L2 - Series002.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;832;170;53;368138874;2912329;74416184;454916;22666248
crop_2021_06_02_Lujeune_MitoSox_L2 - Series003.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;40;1100;3;0;12.008;10;4;0;651;871;47;360136560;2520025;59753694;259816;12860619
crop_2021_06_02_Lujeune_MitoSox_L2 - Series004.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;50;1100;3;0;15.01;10;5;0;930;488;52;468196372;4040431;109644866;835544;41097938
crop_2021_06_02_Lujeune_MitoSox_L2 - Series005.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;50;1100;3;0;15.01;10;5;0;762;896;41;379208890;2529100;58713762;267265;11520586
crop_2021_06_02_Lujeune_MitoSox_L2 - Series006.tif;microns;0.05858;0.05858;0.3002;1576;1576;2;1;30;1100;3;0;9.006;10;3;0;394;1411;24;409448864;4140165;97206084;347458;17902334
